                                                   || ['Equalize', 0.3, 7] - ['AutoContrast', 0.30000000000000004, 8] || ['Equalize', 0.4, 7] - ['AutoContrast', 0.30000000000000004, 8]
['Equalize', 0.3, 7] - ['AutoContrast', 0.4, 8]    ||                                                    ||                                                   
                                                   ||                                                    || ['Color', 0.7, 7] - ['AutoContrast', 0.5, 7]      
['Equalize', 0.2, 0] - ['AutoContrast', 0.6, 0]    || ['Color', 0.30000000000000004, 0] - ['AutoContrast', 0.6, 0] ||                                                   
                                                   || ['Color', 0.7, 7] - ['AutoContrast', 0.6, 6]       ||                                                   
                                                   || ['Contrast', 0.7, 7] - ['AutoContrast', 0.7, 4]    ||                                                   
                                                   ||                                                    || ['Smooth', 0.5, 5] - ['AutoContrast', 0.7000000000000001, 4]
['TranslateY', 0.7, 9] - ['AutoContrast', 0.9, 1]  ||                                                    ||                                                   
['Solarize', 0.4, 5] - ['AutoContrast', 0.9, 3]    || ['Smooth', 0.4, 5] - ['AutoContrast', 0.9, 3]      ||                                                   
['Color', 0.4, 3] - ['Brightness', 0.6, 7]         || ['Color', 0.5, 4] - ['Brightness', 0.6, 7]         || ['Color', 0.5, 4] - ['Brightness', 0.6, 7]        
['Sharpness', 0.3, 9] - ['Brightness', 0.7, 9]     ||                                                    ||                                                   
                                                   || ['Invert', 0.1, 7] - ['Color', 0.2, 6]             ||                                                   
['Brightness', 0.9, 6] - ['Color', 0.2, 8]         || ['Brightness', 0.9, 6] - ['Color', 0.2, 8]         ||                                                   
                                                   ||                                                    || ['Brightness', 0.8, 6] - ['Color', 0.4, 8]        
                                                   || ['Brightness', 0.1, 3] - ['Color', 0.6, 1]         ||                                                   
['Brightness', 0.1, 3] - ['Color', 0.7, 0]         ||                                                    ||                                                   
                                                   ||                                                    || ['Brightness', 0.1, 4] - ['Color', 0.7999999999999999, 0]
['Invert', 0.1, 7] - ['Contrast', 0.2, 6]          ||                                                    ||                                                   
                                                   || ['ShearY', 0.4, 9] - ['Contrast', 0.6, 8]          || ['ShearY', 0.9, 9] - ['Contrast', 0.6, 8]         
                                                   ||                                                    || ['ShearY', 0.3, 9] - ['Contrast', 0.7, 6]         
                                                   ||                                                    || ['FlipLR', 0.30000000000000004, 0] - ['CropBilinear', 0.4, 1]
                                                   ||                                                    || ['FlipLR', 0.7999999999999999, 2] - ['Cutout', 0.4, 8]
                                                   ||                                                    || ['AutoContrast', 0.1, 7] - ['Equalize', 0.3, 6]   
                                                   || ['AutoContrast', 0.1, 7] - ['Equalize', 0.3, 7]    ||                                                   
                                                   ||                                                    || ['Smooth', 0.9, 8] - ['Equalize', 0.4, 6]         
                                                   || ['Equalize', 0.7999999999999999, 5] - ['Equalize', 0.5, 0] ||                                                   
['Equalize', 0.6, 5] - ['Equalize', 0.5, 1]        ||                                                    ||                                                   
                                                   || ['TranslateX', 1.0, 9] - ['Equalize', 0.5, 6]      ||                                                   
['Equalize', 0.2, 8] - ['Equalize', 0.6, 4]        ||                                                    ||                                                   
                                                   || ['AutoContrast', 0.2, 8] - ['Equalize', 0.6, 5]    ||                                                   
['Color', 0.9, 9] - ['Equalize', 0.6, 6]           ||                                                    ||                                                   
                                                   ||                                                    || ['AutoContrast', 0.4, 9] - ['Equalize', 0.7, 5]   
                                                   ||                                                    || ['Sharpness', 0.9, 0] - ['Equalize', 0.8, 3]      
['AutoContrast', 0.5, 8] - ['Equalize', 0.9, 2]    ||                                                    ||                                                   
                                                   || ['Sharpness', 0.8, 1] - ['Equalize', 0.9, 3]       ||                                                   
                                                   ||                                                    || ['Sharpness', 0.5, 7] - ['FlipLR', 0.9, 2]        
['Solarize', 0.5, 2] - ['Invert', 0.0, 3]          || ['Solarize', 0.4, 2] - ['Invert', 0.0, 3]          ||                                                   
['Equalize', 0.8, 8] - ['Invert', 0.1, 3]          ||                                                    ||                                                   
                                                   ||                                                    || ['ShearY', 0.5, 8] - ['Invert', 0.7, 9]           
['ShearY', 0.2, 7] - ['Posterize', 0.3, 7]         ||                                                    ||                                                   
                                                   ||                                                    || ['Equalize', 0.7999999999999999, 5] - ['Rotate', 0.4, 0]
                                                   || ['Rotate', 0.4, 3] - ['Sharpness', 0.2, 5]         ||                                                   
['TranslateY', 0.4, 3] - ['Sharpness', 0.2, 6]     ||                                                    ||                                                   
                                                   ||                                                    || ['Posterize', 0.30000000000000004, 4] - ['Sharpness', 0.30000000000000004, 5]
['Contrast', 0.6, 7] - ['Sharpness', 0.6, 5]       ||                                                    ||                                                   
                                                   ||                                                    || ['TranslateY', 0.7, 8] - ['Sharpness', 0.9, 1]    
['Sharpness', 0.8, 1] - ['Sharpness', 0.9, 3]      ||                                                    ||                                                   
                                                   || ['TranslateY', 0.7, 8] - ['Sharpness', 1.0, 0]     ||                                                   
                                                   ||                                                    || ['AutoContrast', 0.8, 4] - ['ShearY', 0.1, 8]     
                                                   ||                                                    || ['Sharpness', 0.9, 8] - ['Smooth', 0.1, 3]        
                                                   || ['Sharpness', 0.9, 8] - ['Smooth', 0.2, 3]         ||                                                   
                                                   || ['Sharpness', 0.5, 8] - ['Smooth', 0.8, 2]         ||                                                   
                                                   ||                                                    || ['Invert', 0.0, 6] - ['Solarize', 0.1, 6]         
['AutoContrast', 0.8, 4] - ['Solarize', 0.2, 8]    || ['AutoContrast', 0.7000000000000001, 4] - ['Solarize', 0.2, 8] ||                                                   
                                                   || ['Color', 0.9, 8] - ['Solarize', 0.6, 9]           ||                                                   
['AutoContrast', 0.9, 2] - ['Solarize', 0.8, 3]    || ['AutoContrast', 0.9, 2] - ['Solarize', 0.8, 3]    || ['AutoContrast', 1.0, 3] - ['Solarize', 0.8, 3]   
                                                   ||                                                    || ['Solarize', 0.5, 2] - ['TranslateX', 0.0, 3]     
['Rotate', 0.7, 2] - ['TranslateX', 0.3, 9]        ||                                                    ||                                                   
                                                   || ['Rotate', 0.7, 2] - ['TranslateX', 0.4, 9]        ||                                                   
['Color', 0.7, 7] - ['TranslateX', 0.5, 8]         ||                                                    ||                                                   
                                                   ||                                                    || ['Contrast', 0.7, 7] - ['TranslateY', 0.7, 4]     
['ShearY', 0.5, 8] - ['TranslateY', 0.7, 9]        || ['ShearY', 0.5, 9] - ['TranslateY', 0.7, 9]        ||                                                   
['TranslateY', 0.9, 9] - ['TranslateY', 0.7, 9]    ||                                                    ||                                                   