                                                   || ['AutoContrast', 0.1, 7]                           || ['AutoContrast', 0.1, 7]                          
                                                   || ['AutoContrast', 0.2, 8]                           ||                                                   
                                                   || ['AutoContrast', 0.30000000000000004, 8]           || ['AutoContrast', 0.30000000000000004, 8]          
['AutoContrast', 0.4, 8]                           ||                                                    ||                                                   
                                                   ||                                                    || ['AutoContrast', 0.4, 9]                          
                                                   ||                                                    || ['AutoContrast', 0.5, 7]                          
['AutoContrast', 0.5, 8]                           ||                                                    ||                                                   
['AutoContrast', 0.6, 0]                           || ['AutoContrast', 0.6, 0]                           ||                                                   
                                                   || ['AutoContrast', 0.6, 6]                           ||                                                   
                                                   || ['AutoContrast', 0.7, 4]                           ||                                                   
                                                   || ['AutoContrast', 0.7000000000000001, 4]            || ['AutoContrast', 0.7000000000000001, 4]           
['AutoContrast', 0.8, 4]                           ||                                                    || ['AutoContrast', 0.8, 4]                          
['AutoContrast', 0.9, 1]                           ||                                                    ||                                                   
['AutoContrast', 0.9, 2]                           || ['AutoContrast', 0.9, 2]                           ||                                                   
['AutoContrast', 0.9, 3]                           || ['AutoContrast', 0.9, 3]                           ||                                                   
                                                   ||                                                    || ['AutoContrast', 1.0, 3]                          
['Brightness', 0.1, 3]                             || ['Brightness', 0.1, 3]                             ||                                                   
                                                   ||                                                    || ['Brightness', 0.1, 4]                            
['Brightness', 0.6, 7]                             || ['Brightness', 0.6, 7]                             || ['Brightness', 0.6, 7]                            
['Brightness', 0.7, 9]                             ||                                                    ||                                                   
                                                   ||                                                    || ['Brightness', 0.8, 6]                            
['Brightness', 0.9, 6]                             || ['Brightness', 0.9, 6]                             ||                                                   
                                                   || ['Color', 0.2, 6]                                  ||                                                   
['Color', 0.2, 8]                                  || ['Color', 0.2, 8]                                  ||                                                   
                                                   || ['Color', 0.30000000000000004, 0]                  ||                                                   
['Color', 0.4, 3]                                  ||                                                    ||                                                   
                                                   ||                                                    || ['Color', 0.4, 8]                                 
                                                   || ['Color', 0.5, 4]                                  || ['Color', 0.5, 4]                                 
                                                   || ['Color', 0.6, 1]                                  ||                                                   
['Color', 0.7, 0]                                  ||                                                    ||                                                   
['Color', 0.7, 7]                                  || ['Color', 0.7, 7]                                  || ['Color', 0.7, 7]                                 
                                                   ||                                                    || ['Color', 0.7999999999999999, 0]                  
                                                   || ['Color', 0.9, 8]                                  ||                                                   
['Color', 0.9, 9]                                  ||                                                    ||                                                   
['Contrast', 0.2, 6]                               ||                                                    ||                                                   
['Contrast', 0.6, 7]                               ||                                                    ||                                                   
                                                   || ['Contrast', 0.6, 8]                               || ['Contrast', 0.6, 8]                              
                                                   ||                                                    || ['Contrast', 0.7, 6]                              
                                                   || ['Contrast', 0.7, 7]                               || ['Contrast', 0.7, 7]                              
                                                   ||                                                    || ['CropBilinear', 0.4, 1]                          
                                                   ||                                                    || ['Cutout', 0.4, 8]                                
['Equalize', 0.2, 0]                               ||                                                    ||                                                   
['Equalize', 0.2, 8]                               ||                                                    ||                                                   
                                                   ||                                                    || ['Equalize', 0.3, 6]                              
['Equalize', 0.3, 7]                               || ['Equalize', 0.3, 7]                               ||                                                   
                                                   || ['Equalize', 0.3, 7]                               ||                                                   
                                                   ||                                                    || ['Equalize', 0.4, 6]                              
                                                   ||                                                    || ['Equalize', 0.4, 7]                              
                                                   || ['Equalize', 0.5, 0]                               ||                                                   
['Equalize', 0.5, 1]                               ||                                                    ||                                                   
                                                   || ['Equalize', 0.5, 6]                               ||                                                   
['Equalize', 0.6, 4]                               ||                                                    ||                                                   
['Equalize', 0.6, 5]                               || ['Equalize', 0.6, 5]                               ||                                                   
['Equalize', 0.6, 6]                               ||                                                    ||                                                   
                                                   ||                                                    || ['Equalize', 0.7, 5]                              
                                                   || ['Equalize', 0.7999999999999999, 5]                || ['Equalize', 0.7999999999999999, 5]               